Distance Metric,Score,Performance Metric
Braycurtis, 0.8466500841746317 ,F2
Braycurtis, 0.8444680753688457 ,F2
Braycurtis, 0.8438527743638194 ,F2
Braycurtis, 0.8511542288353745 ,F2
Braycurtis, 0.8365441138704935 ,F2
Braycurtis, 0.82052918007198 ,F2
Braycurtis, 0.8560582991132953 ,F2
Braycurtis, 0.8364366253944708 ,F2
Braycurtis, 0.8549914322152881 ,F2
Braycurtis, 0.8395372996924189 ,F2
Canberra, 0.8427197100260531 ,F2
Canberra, 0.8487151120220864 ,F2
Canberra, 0.850550470254436 ,F2
Canberra, 0.8634791062160213 ,F2
Canberra, 0.8435935075732749 ,F2
Canberra, 0.8367094690491859 ,F2
Canberra, 0.8556469545033796 ,F2
Canberra, 0.8427037807219403 ,F2
Canberra, 0.855420194604211 ,F2
Canberra, 0.8484316089712437 ,F2
Chebyshev, 0.628783071627183 ,F2
Chebyshev, 0.6513924502648091 ,F2
Chebyshev, 0.6490473309456113 ,F2
Chebyshev, 0.6327926893265845 ,F2
Chebyshev, 0.654266338461773 ,F2
Chebyshev, 0.6475144452671064 ,F2
Chebyshev, 0.6653959940352426 ,F2
Chebyshev, 0.6440445238503888 ,F2
Chebyshev, 0.6824255956287909 ,F2
Chebyshev, 0.6443998334912183 ,F2
Cityblock, 0.7272979508390477 ,F2
Cityblock, 0.7250481830499168 ,F2
Cityblock, 0.7504075181324058 ,F2
Cityblock, 0.725908548413722 ,F2
Cityblock, 0.7365908046991475 ,F2
Cityblock, 0.721141752189027 ,F2
Cityblock, 0.7565105889750026 ,F2
Cityblock, 0.7363198018168421 ,F2
Cityblock, 0.7429667055346861 ,F2
Cityblock, 0.7313776468366485 ,F2
Correlation, 0.7305565022538354 ,F2
Correlation, 0.7360257593652544 ,F2
Correlation, 0.7482892934560552 ,F2
Correlation, 0.728558053005141 ,F2
Correlation, 0.7466980836642017 ,F2
Correlation, 0.7230883915444406 ,F2
Correlation, 0.7598340278541266 ,F2
Correlation, 0.7377115459899214 ,F2
Correlation, 0.7411198056500428 ,F2
Correlation, 0.7279602614435144 ,F2
Cosine, 0.7305565022538354 ,F2
Cosine, 0.7360257593652544 ,F2
Cosine, 0.7482892934560552 ,F2
Cosine, 0.728558053005141 ,F2
Cosine, 0.7466980836642017 ,F2
Cosine, 0.7230883915444406 ,F2
Cosine, 0.7598340278541266 ,F2
Cosine, 0.7377115459899214 ,F2
Cosine, 0.7411198056500428 ,F2
Cosine, 0.7279602614435144 ,F2
Euclidean, 0.7305565022538354 ,F2
Euclidean, 0.7360257593652544 ,F2
Euclidean, 0.7482892934560552 ,F2
Euclidean, 0.728558053005141 ,F2
Euclidean, 0.7466980836642017 ,F2
Euclidean, 0.7230883915444406 ,F2
Euclidean, 0.7598340278541266 ,F2
Euclidean, 0.7377115459899214 ,F2
Euclidean, 0.7411198056500428 ,F2
Euclidean, 0.7279602614435144 ,F2
Braycurtis, 0.8666666666666667 ,Accuracy
Braycurtis, 0.875 ,Accuracy
Braycurtis, 0.871875 ,Accuracy
Braycurtis, 0.8770833333333333 ,Accuracy
Braycurtis, 0.8583333333333333 ,Accuracy
Braycurtis, 0.846875 ,Accuracy
Braycurtis, 0.88125 ,Accuracy
Braycurtis, 0.8666666666666667 ,Accuracy
Braycurtis, 0.8875 ,Accuracy
Braycurtis, 0.8614583333333333 ,Accuracy
Canberra, 0.8614583333333333 ,Accuracy
Canberra, 0.8760416666666667 ,Accuracy
Canberra, 0.878125 ,Accuracy
Canberra, 0.8864583333333333 ,Accuracy
Canberra, 0.8604166666666667 ,Accuracy
Canberra, 0.8635416666666667 ,Accuracy
Canberra, 0.8791666666666667 ,Accuracy
Canberra, 0.8729166666666667 ,Accuracy
Canberra, 0.8875 ,Accuracy
Canberra, 0.8739583333333333 ,Accuracy
Chebyshev, 0.6416666666666667 ,Accuracy
Chebyshev, 0.6677083333333333 ,Accuracy
Chebyshev, 0.6760416666666667 ,Accuracy
Chebyshev, 0.6583333333333333 ,Accuracy
Chebyshev, 0.6739583333333333 ,Accuracy
Chebyshev, 0.671875 ,Accuracy
Chebyshev, 0.6822916666666666 ,Accuracy
Chebyshev, 0.66875 ,Accuracy
Chebyshev, 0.70625 ,Accuracy
Chebyshev, 0.6625 ,Accuracy
Cityblock, 0.7385416666666667 ,Accuracy
Cityblock, 0.7427083333333333 ,Accuracy
Cityblock, 0.7770833333333333 ,Accuracy
Cityblock, 0.746875 ,Accuracy
Cityblock, 0.753125 ,Accuracy
Cityblock, 0.740625 ,Accuracy
Cityblock, 0.7760416666666666 ,Accuracy
Cityblock, 0.759375 ,Accuracy
Cityblock, 0.7708333333333334 ,Accuracy
Cityblock, 0.746875 ,Accuracy
Correlation, 0.746875 ,Accuracy
Correlation, 0.7541666666666667 ,Accuracy
Correlation, 0.771875 ,Accuracy
Correlation, 0.7479166666666667 ,Accuracy
Correlation, 0.7625 ,Accuracy
Correlation, 0.7427083333333333 ,Accuracy
Correlation, 0.7791666666666667 ,Accuracy
Correlation, 0.759375 ,Accuracy
Correlation, 0.7666666666666667 ,Accuracy
Correlation, 0.746875 ,Accuracy
Cosine, 0.746875 ,Accuracy
Cosine, 0.7541666666666667 ,Accuracy
Cosine, 0.771875 ,Accuracy
Cosine, 0.7479166666666667 ,Accuracy
Cosine, 0.7625 ,Accuracy
Cosine, 0.7427083333333333 ,Accuracy
Cosine, 0.7791666666666667 ,Accuracy
Cosine, 0.759375 ,Accuracy
Cosine, 0.7666666666666667 ,Accuracy
Cosine, 0.746875 ,Accuracy
Euclidean, 0.746875 ,Accuracy
Euclidean, 0.7541666666666667 ,Accuracy
Euclidean, 0.771875 ,Accuracy
Euclidean, 0.7479166666666667 ,Accuracy
Euclidean, 0.7625 ,Accuracy
Euclidean, 0.7427083333333333 ,Accuracy
Euclidean, 0.7791666666666667 ,Accuracy
Euclidean, 0.759375 ,Accuracy
Euclidean, 0.7666666666666667 ,Accuracy
Euclidean, 0.746875 ,Accuracy